A,E,Ecum,G_eff,K,L,Lambda,Omega,U,Y_damaged,Y_gross,Y_net,abatecost,dEcum_dt,dK_dt,delta_T,delta_c,f,mu,sigma,t,theta1,y,y_eff
1.0,-0.2527974102992607,2000000000000000.0,0.3934259209673007,500000000000000.0,8000000000.0,0.5448860294798334,0.008,-0.5430431205868281,217954411791.93344,219712108661.22324,99194097743.01424,118760314048.9192,-0.2527974102992607,-24980161180451.4,2.0,1.0897720589596671,0.5,3.3011695790426563,5e-13,0.0,0.05,21.795441179193343,6.950401923078443
1.010050167084168,-0.2477581198361375,1999999999999999.8,0.3934259209673007,475019838819548.6,8031808091.190222,0.5413200834618729,0.008,-0.5410605226664053,217388951313.64185,219142088017.78412,99711946044.85222,117677005268.78963,-0.2477581198361375,-23731049551768.465,2.0,1.082640166923746,0.5,3.306842726065697,4.900993366533776e-13,1.0,0.049502491687458405,21.652803338474918,7.001431700516466
1.0202013400267558,-0.24281169280983575,1999999999999999.5,0.3934259209673007,451288789267780.2,8063232775.877505,0.5377880673746496,0.007999999999999997,-0.5391659622747249,216815518566.55466,218564030813.05914,100214719859.81477,116600798706.73988,-0.24281169280983575,-22544396519417.047,1.9999999999999996,1.075576134749299,0.5,3.3125582469928485,4.803947195761616e-13,2.0,0.04900993366533776,21.511522694985977,7.05072242445795
1.030454533953517,-0.23795667996373232,1999999999999999.2,0.3934259209673007,428744392748363.1,8094274773.344594,0.5342895195768953,0.007999999999999995,-0.5373553830702001,216234308998.6833,217978134071.25333,100702583927.73486,115531725070.94843,-0.23795667996373232,-21417079120632.61,1.9999999999999993,1.0685790391537908,0.5,3.318316012352826,4.708822667921244e-13,3.0,0.04852227667742541,21.371580783075814,7.098316246590336
1.0408107741923882,-0.2331916473402462,1999999999999999.0,0.3934259209673007,407327313627730.5,8124934936.660261,0.530823986738297,0.007999999999999993,-0.5356249834601294,215645517753.36356,217384594509.43906,101175704297.27892,114469813456.08464,-0.2331916473402462,-20346130540527.07,1.9999999999999991,1.0616479734765938,0.5,3.3241158962857384,4.615581731933178e-13,4.0,0.04803947195761616,21.232959469531874,7.144254224694894
1.0512710963760241,-0.22851517632333776,1999999999999998.8,0.3934259209673007,386981183087203.44,8155214248.878645,0.5273910237745755,0.007999999999999991,-0.5339711966419972,215049339590.85565,216783608458.52383,101634248221.98795,113415091368.8677,-0.22851517632333776,-19328732304715.773,1.999999999999999,1.0547820475491507,0.5,3.3299577768565523,4.5241870901797975e-13,5.0,0.047561471225035706,21.095640950983015,7.188576353083276
1.0618365465453596,-0.22392586367629552,1999999999999998.5,0.3934259209673007,367652450782487.7,8185113819.219541,0.5239901937838236,0.00799999999999999,-0.5323906725125308,214445968813.77493,216175371788.07956,102078384058.88521,112367584754.88972,-0.22392586367629552,-18362206862312.61,1.9999999999999987,1.047980387567647,0.5,3.335841536377437,4.434602183585787e-13,6.0,0.04708822667921244,20.95960775135294,7.231321592272492
1.0725081812542165,-0.219422321574743,1999999999999998.2,0.3934259209673007,349290243920175.06,8214634879.23557,0.5206210679841895,0.007999999999999988,-0.5308802612413257,213835599196.38974,215560079835.0703,102508281169.72623,111327318026.66351,-0.219422321574743,-17444010539774.809,1.9999999999999984,1.041242135968379,0.5,3.341767061739495,4.3467911769940294e-13,7.0,0.04661969099529742,20.824842719367577,7.272527897917678
1.0832870676749586,-0.2150031776348109,1999999999999998.0,0.3934259209673007,331846233380400.25,8243778778.971908,0.5172832256530012,0.007999999999999986,-0.5294369983308991,213218423917.81738,214937927336.50946,102924109824.95978,110294314092.8576,-0.2150031776348109,-16571726847055.021,1.9999999999999982,1.0345664513060024,0.5,3.3477342447544536,4.260718944831057e-13,8.0,0.04615581731933179,20.691329026120048,7.31223224902136
1.0941742837052104,-0.21066707493643053,1999999999999997.8,0.3934259209673007,315274506533345.25,8272546983.124069,0.5139762540674266,0.007999999999999985,-0.5280580910066216,212594635499.145,214309108366.07358,103326041110.46448,109268594388.68051,-0.21066707493643053,-15743060118445.17,1.999999999999998,1.0279525081348533,0.5,3.3537429825068994,4.1763510570563597e-13,9.0,0.04569655926356141,20.559050162697066,7.350470675437872
