A,E,Ecum,G_eff,K,L,Lambda,Omega,U,Y_damaged,Y_gross,Y_net,abatecost,dEcum_dt,dK_dt,delta_T,delta_c,f,mu,sigma,t,theta1,y,y_eff
1.0,0.0010780138803016003,0.0,0.3934259209673007,57966314512.89003,8000000000.0,0.036228946570556225,0.0,-1.2171520176129382,14491578628.222488,14491578628.222488,13966564000.377602,525014627.844887,0.0010780138803016003,-105002925.56898117,0.0,0.07245789314111245,0.5,0.8512220223955231,5e-13,0.0,0.05,1.449157862822249,1.383531034341638
1.010050167084168,0.001013524788705095,0.0010780138803016003,0.3934259209673007,57861311587.321045,8031808091.190222,0.036529642816191345,2.3242278522458268e-39,-1.212370809324973,14669954036.968721,14669954036.968721,14134065855.86831,535888181.10041165,0.001013524788705095,-66252408.19239044,1.0780138803016005e-18,0.0730592856323827,0.5,0.859031685446108,4.900993366533776e-13,1.0,0.049502491687458405,1.461185712647654,1.394464972433728
1.0202013400267558,0.0009489279380328657,0.002091538669006695,0.3934259209673007,57795059179.128654,8063232775.877505,0.036840909218681724,8.749068007900597e-39,-1.2074844954221304,14852841335.260109,14852841335.260109,14305649155.988308,547192179.2718011,0.0009489279380328657,-28623127.758770943,2.091538669006695e-18,0.07368181843736345,0.5,0.8670080155650599,4.803947195761616e-13,2.0,0.04900993366533776,1.4736363687472689,1.4057737391443115
1.030454533953517,0.0008841991558954244,0.003040466607039561,0.3934259209673007,57766436051.36988,8094274773.344594,0.037162773587236395,1.8488874377045324e-38,-1.20249775682994,15040285037.734211,15040285037.734211,14481346330.189396,558938707.5448157,0.0008841991558954244,7947463.469385147,3.0404666070395612e-18,0.07432554717447278,0.5,0.875151970085833,4.708822667921244e-13,3.0,0.04852227667742541,1.4865109434894554,1.4174573564546458
1.0408107741923882,0.0008193153559726012,0.003924665762934985,0.3934259209673007,57774383514.839264,8124934936.660261,0.037495262930137156,3.08060027015081e-38,-1.1974152891331478,15232328587.016691,15232328587.016691,14661188421.608255,571140165.4084355,0.0008193153559726012,43518508.57968807,3.924665762934985e-18,0.07499052586027433,0.5,0.883464471711944,4.615581731933178e-13,4.0,0.04803947195761616,1.4998105172054865,1.4295157800954805
1.0512710963760241,0.0007542545415718728,0.0047439811189075864,0.3934259209673007,57817902023.41895,8155214248.878645,0.03783840365561752,4.501071371310336e-38,-1.1922417886027705,15429014432.355686,15429014432.355686,14845205156.255863,583809276.0998229,0.0007542545415718728,78145930.08022499,4.743981118907587e-18,0.07567680731123504,0.5,0.8919464120243948,4.5241870901797975e-13,5.0,0.047561471225035706,1.5135361462247006,1.4419489066644282
1.0618365465453596,0.000688995805623183,0.005498235660479459,0.3934259209673007,57896047953.499176,8185113819.219541,0.03819222177167678,6.0461190756336e-38,-1.1869819389284424,15630384110.502453,15630384110.502453,15033425014.17765,596959096.3248026,0.000688995805623183,111882605.1605711,5.498235660479459e-18,0.07638444354335357,0.5,0.9005986550171143,4.434602183585787e-13,6.0,0.04708822667921244,1.5276888708670713,1.4547565806742242
1.0725081812542165,0.00062351932726305,0.006187231466102642,0.3934259209673007,58007930558.659744,8214634879.23557,0.038556743083779384,7.656366643026132e-38,-1.181640398705928,15836478328.286943,15836478328.286943,15225875302.031343,610603026.2555997,0.00062351932726305,144778532.47328186,6.187231466102643e-18,0.07711348616755875,0.5,0.9094220406375723,4.3467911769940294e-13,7.0,0.04661969099529742,1.5422697233511748,1.4679386014897464
1.0832870676749586,0.0005578063651784975,0.0068107507933656926,0.3934259209673007,58152709091.133026,8243778778.971908,0.038931993389478815,9.277265273866283e-38,-1.176221789718756,16047337046.362997,16047337046.362997,15422582226.555254,624754819.8077427,0.0005578063651784975,176880990.7543993,6.810750793365693e-18,0.07786398677895762,0.5,0.9184173883113208,4.260718944831057e-13,8.0,0.04615581731933179,1.5572797355791523,1.4814947301152313
1.0941742837052104,0.0004918392478960776,0.00736855715854419,0.3934259209673007,58329590081.88743,8272546983.124069,0.03931799866910089,1.085912691974657e-37,-1.1707306860424282,16262999563.627335,16262999563.627335,15623570968.429047,639428595.198288,0.0004918392478960776,208234689.59143782,7.368557158544191e-18,0.07863599733820179,0.5,0.9275855004309401,4.1763510570563597e-13,9.0,0.04569655926356141,1.5727199467640356,1.4954246957968647
